term,rank
alhamdulillah,1.2328964549443895
vaksinsuksesakhiripandemi,1.229281732006279
yogyakarta,1.2178268394481622
vaksinasiberdampakbaik,1.2104452435928201
warga,1.209604525124122
monster,1.2090704767378695
selamat,1.2090704767378695
hadir,1.1908818730567072
tekan,1.1892331159086806
samping,1.1837527789690092
ayovaksin,1.181551146358217
usaha,1.1677745553419732
kuat,1.1630894096963698
ekonomi,1.1596640559603748
tuju,1.1548795549470228
beras,1.1508707573309813
penuh,1.149607869449147
sasar,1.1467996420535633
gera,1.1323198485932913
kait,1.1293307909151336
turun,1.1205296191831646
batal,1.1077041997108283
sanksi,1.1077041997108283
cegah,1.1077041997108283
rantai,1.1048359270377421
kemenkes,1.1008328983165907
menteri,1.0943865672250717
mati,1.0933272194644321
serta,1.0805103880020825
ketua,1.0793015279233713
temu,1.0791746688224146
senayan,1.0760555082905188
ricuh,1.074729312655884
kru,1.074729312655884
india,1.058801096744503
moga,1.0565793904934055
bekas,1.039845578388463
nadiem,1.0378146299931732
stok,1.0357753555737614
sempat,1.0338572530634398
hilang,1.0152324180741155
massal,1.013115015165606
provinsi,1.011122165369362
tinggal,1.009627528022179
isu,1.009225125659476
vaksinuntukrakyatindonesia,1.009225125659476
fakta,1.009225125659476
layan,0.9978428874001585
hukum,0.9969337797397455
eropa,0.9963252556322495
biaya,0.9955032050912989
kamu,0.9935771003466825
joko,0.9831796047880623
widodo,0.9831796047880623
pasal,0.9826665697210686
kota,0.9767299513348364
kandung,0.9716703506235336
mui,0.9690226433865778
diplomasi,0.9672563813902957
pandeglang,0.9672563813902957
normal,0.9672563813902957
dokkespolri,0.9672563813902957
bahasa,0.9672563813902957
sinergi,0.9672563813902957
taat,0.9672563813902957
gambar,0.9672563813902957
ulang,0.9672563813902957
panas,0.9672563813902957
muda,0.9513614946007464
harap,0.9494683747980596
pagi,0.9487957879918272
kembang,0.948476244834843
tengah,0.9416215287253484
rebut,0.9398702300576726
habis,0.9364227901264506
ikhtiar,0.9353946575335883
info,0.9342362618333848
vaksinpulihkannegeri,0.9338494145199963
beku,0.9239979198396546
hasil,0.923086833092357
stop,0.9204436672368002
usia,0.9118035136490457
kerja,0.9068028575534022
tolak,0.8906465286740513
pakai,0.8855647616936287
tni,0.8830648864827583
maklumat,0.8793239830820869
tambah,0.879130317230816
publik,0.8711206347797582
rangka,0.86808537124394
bal,0.8637011016922032
sim,0.8636217690984782
kaya,0.8615477108861999
langkah,0.8582212718480292
nganjuk,0.8534615129914374
antibodi,0.8514118554640092
bubar,0.8458832070519053
mana,0.8458832070519053
daerah,0.8331450390987427
vaksindemipulihkanri,0.8331450390987427
vaksinaman,0.8307781497831213
beritaterkini,0.8187623387868982
prioritas,0.8144883821403149
mandiri,0.8123164131212741
ikatancintaep,0.8087998918523508
siti,0.8087998918523508
fadilah,0.8087998918523508
darah,0.807850033170697
purbalingga,0.8060469844919129
bahaya,0.8060469844919129
bahan,0.8060469844919129
sunti,0.8060469844919129
teman,0.8060469844919129
antigen,0.8060469844919129
masjid,0.8060469844919129
dmi,0.8060469844919129
